CustomerID,AddressID,AddressTypeID,rowguid,ModifiedDate
1,832,3,...,"2001-08-01 00:00:00"
2,297,5,...,"2002-08-01 00:00:00"
2,833,3,...,"2002-08-01 00:00:00"
3,559,3,...,"2001-09-01 00:00:00"
4,560,3,...,"2002-07-01 00:00:00"
4,11380,5,...,"2002-07-01 00:00:00"
5,988,3,...,"2002-09-01 00:00:00"
6,989,3,...,"2003-09-01 00:00:00"
7,990,3,...,"2002-07-01 00:00:00"
8,908,3,...,"2003-08-01 00:00:00"
9,909,3,...,"2002-11-01 00:00:00"
10,445,3,...,"2002-09-01 00:00:00"
11,446,3,...,"2001-08-01 00:00:00"
12,447,3,...,"2002-08-01 00:00:00"
13,675,3,...,"2002-08-01 00:00:00"
14,715,3,...,"2003-09-01 00:00:00"
15,405,3,...,"2003-09-01 00:00:00"
16,635,3,...,"2002-09-01 00:00:00"
17,755,3,...,"2001-07-01 00:00:00"
18,756,3,...,"2001-08-01 00:00:00"
19,11,5,...,"2003-04-01 00:00:00"
19,834,3,...,"2003-04-01 00:00:00"
20,835,3,...,"2001-09-01 00:00:00"
21,561,3,...,"2002-09-01 00:00:00"
22,562,3,...,"2001-08-01 00:00:00"
23,991,3,...,"2002-09-01 00:00:00"
24,992,3,...,"2002-09-01 00:00:00"
25,993,3,...,"2002-09-01 00:00:00"
26,910,3,...,"2001-12-01 00:00:00"
27,911,3,...,"2001-07-01 00:00:00"
28,448,3,...,"2003-08-01 00:00:00"
29,449,3,...,"2001-08-01 00:00:00"
30,450,3,...,"2002-09-01 00:00:00"
31,676,3,...,"2003-08-01 00:00:00"
32,716,3,...,"2003-08-01 00:00:00"
33,406,3,...,"2003-09-01 00:00:00"
34,636,3,...,"2003-07-01 00:00:00"
35,757,3,...,"2003-07-01 00:00:00"
36,758,3,...,"2001-08-01 00:00:00"
37,836,3,...,"2002-09-01 00:00:00"
38,837,3,...,"2003-09-01 00:00:00"
39,563,3,...,"2002-09-01 00:00:00"
40,564,3,...,"2001-08-01 00:00:00"
41,994,3,...,"2002-07-01 00:00:00"
42,995,3,...,"2002-07-01 00:00:00"
43,996,3,...,"2002-08-01 00:00:00"
44,912,3,...,"2003-09-01 00:00:00"
45,913,3,...,"2001-08-01 00:00:00"
46,451,3,...,"2002-12-01 00:00:00"
47,452,3,...,"2001-09-01 00:00:00"
48,453,3,...,"2003-09-01 00:00:00"
49,677,3,...,"2003-09-01 00:00:00"
50,717,3,...,"2003-10-01 00:00:00"
51,407,3,...,"2003-09-01 00:00:00"
52,637,3,...,"2003-09-01 00:00:00"
53,759,3,...,"2003-09-01 00:00:00"
54,760,3,...,"2001-09-01 00:00:00"
55,838,3,...,"2003-09-01 00:00:00"
56,839,3,...,"2002-08-01 00:00:00"
57,565,3,...,"2001-09-01 00:00:00"
58,566,3,...,"2001-11-01 00:00:00"
59,997,3,...,"2003-09-01 00:00:00"
60,998,3,...,"2003-09-01 00:00:00"
61,999,3,...,"2002-09-01 00:00:00"
62,914,3,...,"2002-08-01 00:00:00"
63,915,3,...,"2001-08-01 00:00:00"
64,454,3,...,"2003-08-01 00:00:00"
65,455,3,...,"2002-08-01 00:00:00"
66,456,3,...,"2002-08-01 00:00:00"
67,678,3,...,"2002-09-01 00:00:00"
68,718,3,...,"2003-08-01 00:00:00"
69,408,3,...,"2003-09-01 00:00:00"
70,638,3,...,"2003-08-01 00:00:00"
71,761,3,...,"2003-08-01 00:00:00"
72,762,3,...,"2002-09-01 00:00:00"
73,840,3,...,"2001-08-01 00:00:00"
74,841,3,...,"2001-11-01 00:00:00"
75,567,3,...,"2001-09-01 00:00:00"
76,568,3,...,"2001-09-01 00:00:00"
77,1000,3,...,"2002-08-01 00:00:00"
78,1001,3,...,"2001-08-01 00:00:00"
79,1002,3,...,"2002-08-01 00:00:00"
80,916,3,...,"2003-08-01 00:00:00"
81,917,3,...,"2002-07-01 00:00:00"
82,457,3,...,"2002-07-01 00:00:00"
83,458,3,...,"2001-07-01 00:00:00"
84,459,3,...,"2001-08-01 00:00:00"
85,679,3,...,"2003-08-01 00:00:00"
86,719,3,...,"2003-07-01 00:00:00"
87,409,3,...,"2003-08-01 00:00:00"
88,639,3,...,"2003-09-01 00:00:00"
89,763,3,...,"2002-08-01 00:00:00"
90,764,3,...,"2002-09-01 00:00:00"
91,842,3,...,"2001-09-01 00:00:00"
92,843,3,...,"2001-09-01 00:00:00"
93,569,3,...,"2001-09-01 00:00:00"
94,570,3,...,"2002-07-01 00:00:00"
95,1003,3,...,"2003-07-01 00:00:00"
96,1004,3,...,"2001-09-01 00:00:00"
97,1005,3,...,"2002-08-01 00:00:00"
98,918,3,...,"2002-09-01 00:00:00"
99,919,3,...,"2001-08-01 00:00:00"
100,460,3,...,"2003-08-01 00:00:00"
101,461,3,...,"2002-08-01 00:00:00"
102,462,3,...,"2001-08-01 00:00:00"
103,680,3,...,"2003-08-01 00:00:00"
104,720,3,...,"2003-09-01 00:00:00"
105,410,3,...,"2003-09-01 00:00:00"
106,640,3,...,"2003-09-01 00:00:00"
107,765,3,...,"2001-08-01 00:00:00"
108,766,3,...,"2002-08-01 00:00:00"
109,844,3,...,"2003-09-01 00:00:00"
110,845,3,...,"2003-07-01 00:00:00"
111,571,3,...,"2001-12-01 00:00:00"
112,572,3,...,"2003-09-01 00:00:00"
113,1006,3,...,"2003-09-01 00:00:00"
114,1007,3,...,"2001-09-01 00:00:00"
115,1008,3,...,"2002-08-01 00:00:00"
116,920,3,...,"2001-09-01 00:00:00"
117,921,3,...,"2001-07-01 00:00:00"
118,463,3,...,"2001-09-01 00:00:00"
119,464,3,...,"2001-07-01 00:00:00"
120,465,3,...,"2003-07-01 00:00:00"
121,681,3,...,"2002-09-01 00:00:00"
122,721,3,...,"2003-09-01 00:00:00"
123,411,3,...,"2003-07-01 00:00:00"
124,641,3,...,"2002-08-01 00:00:00"
125,767,3,...,"2002-07-01 00:00:00"
126,768,3,...,"2001-12-01 00:00:00"
127,846,3,...,"2002-08-01 00:00:00"
128,847,3,...,"2002-06-01 00:00:00"
129,573,3,...,"2001-11-01 00:00:00"
130,25,5,...,"2002-09-01 00:00:00"
130,574,3,...,"2002-09-01 00:00:00"
131,1009,3,...,"2003-08-01 00:00:00"
132,1010,3,...,"2003-08-01 00:00:00"
133,1011,3,...,"2002-09-01 00:00:00"
134,922,3,...,"2003-08-01 00:00:00"
135,923,3,...,"2002-08-01 00:00:00"
136,466,3,...,"2001-08-01 00:00:00"
137,467,3,...,"2001-11-01 00:00:00"
138,468,3,...,"2003-08-01 00:00:00"
139,682,3,...,"2002-07-01 00:00:00"
140,722,3,...,"2002-07-01 00:00:00"
141,412,3,...,"2003-08-01 00:00:00"
142,642,3,...,"2003-09-01 00:00:00"
143,769,3,...,"2001-09-01 00:00:00"
144,770,3,...,"2001-08-01 00:00:00"
145,848,3,...,"2001-08-01 00:00:00"
146,849,3,...,"2001-07-01 00:00:00"
147,575,3,...,"2002-09-01 00:00:00"
148,576,3,...,"2001-11-01 00:00:00"
149,1012,3,...,"2002-09-01 00:00:00"
150,1013,3,...,"2002-08-01 00:00:00"
151,1014,3,...,"2002-09-01 00:00:00"
152,924,3,...,"2002-08-01 00:00:00"
153,925,3,...,"2003-10-01 00:00:00"
154,469,3,...,"2003-09-01 00:00:00"
155,470,3,...,"2001-09-01 00:00:00"
156,471,3,...,"2001-09-01 00:00:00"
157,683,3,...,"2002-08-01 00:00:00"
158,723,3,...,"2002-08-01 00:00:00"
159,413,3,...,"2003-08-01 00:00:00"
160,643,3,...,"2002-09-01 00:00:00"
161,771,3,...,"2001-07-01 00:00:00"
162,772,3,...,"2001-11-01 00:00:00"
163,850,3,...,"2003-09-01 00:00:00"
164,851,3,...,"2001-08-01 00:00:00"
165,577,3,...,"2002-09-01 00:00:00"
166,578,3,...,"2001-07-01 00:00:00"
167,1015,3,...,"2001-08-01 00:00:00"
168,1016,3,...,"2002-09-01 00:00:00"
169,1017,3,...,"2001-09-01 00:00:00"
170,926,3,...,"2001-09-01 00:00:00"
171,927,3,...,"2003-09-01 00:00:00"
172,472,3,...,"2001-09-01 00:00:00"
173,473,3,...,"2001-09-01 00:00:00"
174,474,3,...,"2001-09-01 00:00:00"
175,684,3,...,"2002-08-01 00:00:00"
176,724,3,...,"2003-09-01 00:00:00"
177,414,3,...,"2003-07-01 00:00:00"
178,644,3,...,"2003-08-01 00:00:00"
179,773,3,...,"2003-09-01 00:00:00"
180,774,3,...,"2001-09-01 00:00:00"
181,852,3,...,"2003-08-01 00:00:00"
182,853,3,...,"2003-09-01 00:00:00"
183,579,3,...,"2002-07-01 00:00:00"
184,580,3,...,"2002-07-01 00:00:00"
185,1018,3,...,"2003-07-01 00:00:00"
186,1019,3,...,"2003-09-01 00:00:00"
187,1020,3,...,"2001-09-01 00:00:00"
188,928,3,...,"2001-09-01 00:00:00"
189,929,3,...,"2001-09-01 00:00:00"
190,475,3,...,"2003-09-01 00:00:00"
191,476,3,...,"2001-08-01 00:00:00"
192,477,3,...,"2001-08-01 00:00:00"
193,685,3,...,"2003-08-01 00:00:00"
194,725,3,...,"2003-08-01 00:00:00"
195,415,3,...,"2003-09-01 00:00:00"
196,645,3,...,"2003-07-01 00:00:00"
197,775,3,...,"2002-09-01 00:00:00"
198,776,3,...,"2001-11-01 00:00:00"
199,854,3,...,"2003-08-01 00:00:00"
200,855,3,...,"2001-07-01 00:00:00"
201,581,3,...,"2003-09-01 00:00:00"
202,582,3,...,"2003-09-01 00:00:00"
203,1021,3,...,"2001-07-01 00:00:00"
204,1022,3,...,"2001-07-01 00:00:00"
205,1023,3,...,"2003-07-01 00:00:00"
206,930,3,...,"2001-08-01 00:00:00"
207,931,3,...,"2002-08-01 00:00:00"
208,478,3,...,"2001-08-01 00:00:00"
209,479,3,...,"2001-08-01 00:00:00"
210,480,3,...,"2001-08-01 00:00:00"
211,686,3,...,"2002-11-01 00:00:00"
212,726,3,...,"2003-09-01 00:00:00"
213,416,3,...,"2003-08-01 00:00:00"
214,646,3,...,"2002-08-01 00:00:00"
215,777,3,...,"2001-10-01 00:00:00"
216,778,3,...,"2001-09-01 00:00:00"
217,856,3,...,"2002-11-01 00:00:00"
218,857,3,...,"2001-08-01 00:00:00"
219,583,3,...,"2003-03-01 00:00:00"
220,584,3,...,"2003-07-01 00:00:00"
221,1024,3,...,"2001-07-01 00:00:00"
222,1025,3,...,"2001-09-01 00:00:00"
222,11381,5,...,"2001-09-01 00:00:00"
223,1026,3,...,"2003-09-01 00:00:00"
224,932,3,...,"2002-08-01 00:00:00"
225,933,3,...,"2002-09-01 00:00:00"
226,481,3,...,"2002-08-01 00:00:00"
227,482,3,...,"2001-07-01 00:00:00"
228,483,3,...,"2003-09-01 00:00:00"
229,687,3,...,"2002-07-01 00:00:00"
230,727,3,...,"2003-08-01 00:00:00"
231,417,3,...,"2003-07-01 00:00:00"
232,647,3,...,"2003-07-01 00:00:00"
233,779,3,...,"2002-08-01 00:00:00"
234,780,3,...,"2002-07-01 00:00:00"
