ProductSubcategoryID,ProductCategoryID,Name,rowguid,ModifiedDate
1,1,"Mountain Bikes",...,"1998-06-01 00:00:00"
2,1,"Road Bikes",...,"1998-06-01 00:00:00"
3,1,"Touring Bikes",...,"1998-06-01 00:00:00"
4,2,Handlebars,...,"1998-06-01 00:00:00"
5,2,"Bottom Brackets",...,"1998-06-01 00:00:00"
6,2,Brakes,...,"1998-06-01 00:00:00"
7,2,Chains,...,"1998-06-01 00:00:00"
8,2,Cranksets,...,"1998-06-01 00:00:00"
9,2,Derailleurs,...,"1998-06-01 00:00:00"
10,2,Forks,...,"1998-06-01 00:00:00"
11,2,Headsets,...,"1998-06-01 00:00:00"
12,2,"Mountain Frames",...,"1998-06-01 00:00:00"
13,2,Pedals,...,"1998-06-01 00:00:00"
14,2,"Road Frames",...,"1998-06-01 00:00:00"
15,2,Saddles,...,"1998-06-01 00:00:00"
16,2,"Touring Frames",...,"1998-06-01 00:00:00"
17,2,Wheels,...,"1998-06-01 00:00:00"
18,3,Bib-Shorts,...,"1998-06-01 00:00:00"
19,3,Caps,...,"1998-06-01 00:00:00"
20,3,Gloves,...,"1998-06-01 00:00:00"
21,3,Jerseys,...,"1998-06-01 00:00:00"
22,3,Shorts,...,"1998-06-01 00:00:00"
23,3,Socks,...,"1998-06-01 00:00:00"
24,3,Tights,...,"1998-06-01 00:00:00"
25,3,Vests,...,"1998-06-01 00:00:00"
26,4,"Bike Racks",...,"1998-06-01 00:00:00"
27,4,"Bike Stands",...,"1998-06-01 00:00:00"
28,4,"Bottles and Cages",...,"1998-06-01 00:00:00"
29,4,Cleaners,...,"1998-06-01 00:00:00"
30,4,Fenders,...,"1998-06-01 00:00:00"
31,4,Helmets,...,"1998-06-01 00:00:00"
32,4,"Hydration Packs",...,"1998-06-01 00:00:00"
33,4,Lights,...,"1998-06-01 00:00:00"
34,4,Locks,...,"1998-06-01 00:00:00"
35,4,Panniers,...,"1998-06-01 00:00:00"
36,4,Pumps,...,"1998-06-01 00:00:00"
37,4,"Tires and Tubes",...,"1998-06-01 00:00:00"
