SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,ContactID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
43659,1,"2001-07-01 00:00:00","2001-07-13 00:00:00","2001-07-08 00:00:00",5,0,SO43659,PO522145787,10-4020-000676,676,378,279,5,985,985,5,16281,105041Vi84182,NULL,24643.9362,1971.5149,616.0984,27231.5495,NULL,...,"2001-07-08 00:00:00"
43660,1,"2001-07-01 00:00:00","2001-07-13 00:00:00","2001-07-08 00:00:00",5,0,SO43660,PO18850127500,10-4020-000117,117,216,279,5,921,921,5,5618,115213Vi29411,NULL,1553.1035,124.2483,38.8276,1716.1794,NULL,...,"2001-07-08 00:00:00"
43661,1,"2001-07-01 00:00:00","2001-07-13 00:00:00","2001-07-08 00:00:00",5,0,SO43661,PO18473189620,10-4020-000442,442,281,282,6,517,517,5,1346,85274Vi6854,4,39422.1198,3153.7696,985.553,43561.4424,NULL,...,"2001-07-08 00:00:00"
43662,1,"2001-07-01 00:00:00","2001-07-13 00:00:00","2001-07-08 00:00:00",5,0,SO43662,PO18444174044,10-4020-000227,227,564,282,6,482,482,5,10456,125295Vi53935,4,34689.5578,2775.1646,867.2389,38331.9613,NULL,...,"2001-07-08 00:00:00"
43663,1,"2001-07-01 00:00:00","2001-07-13 00:00:00","2001-07-08 00:00:00",5,0,SO43663,PO18009186470,10-4020-000510,510,97,276,4,1073,1073,5,4322,45303Vi22691,NULL,503.3507,40.2681,12.5838,556.2026,NULL,...,"2001-07-08 00:00:00"
43664,1,"2001-07-01 00:00:00","2001-07-13 00:00:00","2001-07-08 00:00:00",5,0,SO43664,PO16617121983,10-4020-000397,397,458,280,1,876,876,5,806,95555Vi4081,NULL,29312.401,2344.9921,732.81,32390.2031,NULL,...,"2001-07-08 00:00:00"
43665,1,"2001-07-01 00:00:00","2001-07-13 00:00:00","2001-07-08 00:00:00",5,0,SO43665,PO16588191572,10-4020-000146,146,114,283,1,849,849,5,15232,35568Vi78804,NULL,17199.2839,1375.9427,429.9821,19005.2087,NULL,...,"2001-07-08 00:00:00"
43666,1,"2001-07-01 00:00:00","2001-07-13 00:00:00","2001-07-08 00:00:00",5,0,SO43666,PO16008173883,10-4020-000511,511,828,276,4,1074,1074,5,13349,105623Vi69217,NULL,6079.6842,486.3747,151.9921,6718.051,NULL,...,"2001-07-08 00:00:00"
43667,1,"2001-07-01 00:00:00","2001-07-13 00:00:00","2001-07-08 00:00:00",5,0,SO43667,PO15428132599,10-4020-000646,646,542,277,3,629,629,5,10370,55680Vi53503,NULL,7326.5034,586.1203,183.1626,8095.7863,NULL,...,"2001-07-08 00:00:00"
43668,1,"2001-07-01 00:00:00","2001-07-13 00:00:00","2001-07-08 00:00:00",5,0,SO43668,PO14732180295,10-4020-000514,514,151,282,6,529,529,5,1566,85817Vi8045,4,43272.067,3461.7654,1081.8017,47815.6341,NULL,...,"2001-07-08 00:00:00"
43669,1,"2001-07-01 00:00:00","2001-07-13 00:00:00","2001-07-08 00:00:00",5,0,SO43669,PO14123169936,10-4020-000578,578,295,283,1,895,895,5,15538,25877Vi80261,NULL,881.4687,70.5175,22.0367,974.0229,NULL,...,"2001-07-08 00:00:00"
43670,1,"2001-07-01 00:00:00","2001-07-13 00:00:00","2001-07-08 00:00:00",5,0,SO43670,PO14384116310,10-4020-000504,504,99,275,3,810,810,5,18017,105888Vi93490,NULL,7344.5034,587.5603,183.6126,8115.6763,NULL,...,"2001-07-08 00:00:00"
43671,1,"2001-07-01 00:00:00","2001-07-13 00:00:00","2001-07-08 00:00:00",5,0,SO43671,PO13978119376,10-4020-000200,200,448,283,1,855,855,5,13693,25904Vi70960,NULL,9760.1695,780.8136,244.0042,10784.9873,NULL,...,"2001-07-08 00:00:00"
