SpecialOfferID,Description,DiscountPct,Type,Category,StartDate,EndDate,MinQty,MaxQty,rowguid,ModifiedDate
1,"No Discount",0,"No Discount","No Discount","2001-06-01 00:00:00","2004-12-31 00:00:00",0,NULL,...,"2001-05-02 00:00:00"
2,"Volume Discount 11 to 14",0.02,"Volume Discount",Reseller,"2001-07-01 00:00:00","2004-06-30 00:00:00",11,14,...,"2001-06-01 00:00:00"
3,"Volume Discount 15 to 24",0.05,"Volume Discount",Reseller,"2001-07-01 00:00:00","2004-06-30 00:00:00",15,24,...,"2001-06-01 00:00:00"
4,"Volume Discount 25 to 40",0.1,"Volume Discount",Reseller,"2001-07-01 00:00:00","2004-06-30 00:00:00",25,40,...,"2001-06-01 00:00:00"
5,"Volume Discount 41 to 60",0.15,"Volume Discount",Reseller,"2001-07-01 00:00:00","2004-06-30 00:00:00",41,60,...,"2001-06-01 00:00:00"
6,"Volume Discount over 60",0.2,"Volume Discount",Reseller,"2001-07-01 00:00:00","2004-06-30 00:00:00",61,NULL,...,"2001-06-01 00:00:00"
7,"Mountain-100 Clearance Sale",0.35,"Discontinued Product",Reseller,"2002-05-15 00:00:00","2002-06-30 00:00:00",0,NULL,...,"2002-04-15 00:00:00"
8,"Sport Helmet Discount-2002",0.1,"Seasonal Discount",Reseller,"2002-07-01 00:00:00","2002-07-31 00:00:00",0,NULL,...,"2002-06-01 00:00:00"
9,"Road-650 Overstock",0.3,"Excess Inventory",Reseller,"2002-07-01 00:00:00","2002-08-31 00:00:00",0,NULL,...,"2002-06-01 00:00:00"
10,"Mountain Tire Sale",0.5,"Excess Inventory",Customer,"2003-06-15 00:00:00","2003-08-30 00:00:00",0,NULL,...,"2003-05-16 00:00:00"
11,"Sport Helmet Discount-2003",0.15,"Seasonal Discount",Reseller,"2003-07-01 00:00:00","2003-07-31 00:00:00",0,NULL,...,"2003-06-01 00:00:00"
12,"LL Road Frame Sale",0.35,"Excess Inventory",Reseller,"2003-07-01 00:00:00","2003-08-15 00:00:00",0,NULL,...,"2003-06-01 00:00:00"
13,"Touring-3000 Promotion",0.15,"New Product",Reseller,"2003-07-01 00:00:00","2003-09-30 00:00:00",0,NULL,...,"2003-06-01 00:00:00"
14,"Touring-1000 Promotion",0.2,"New Product",Reseller,"2003-07-01 00:00:00","2003-09-30 00:00:00",0,NULL,...,"2003-06-01 00:00:00"
15,"Half-Price Pedal Sale",0.5,"Seasonal Discount",Customer,"2003-08-15 00:00:00","2003-09-15 00:00:00",0,NULL,...,"2003-07-16 00:00:00"
16,"Mountain-500 Silver Clearance Sale",0.4,"Discontinued Product",Reseller,"2004-05-01 00:00:00","2004-06-30 00:00:00",0,NULL,...,"2004-04-01 00:00:00"
